Cell line	Cancer cell line	Primary disease	Disease subtype	Primary/Metastasis	Patient	Sample collection site	Cellosaurus ID
HT-29	Yes	Colorectal cancer	Adenocarcinoma	Primary	Female, 44	Large intestine	CVCL_0320
HT-55	Yes	Colorectal cancer	Adenocarcinoma	Primary		Large intestine	CVCL_1294
HT115	Yes	Colorectal cancer	Adenocarcinoma			Colon	CVCL_2520
hTCEpi	No	Non-cancerous			Male, 62		CVCL_AQ44
hTEC/SVTERT24-B	No	Non-cancerous			Female		CVCL_JM27
hTERT-HME1	No	Non-cancerous			Female, 53		CVCL_3383
hTERT-RPE1	No	Non-cancerous			Female, 1		CVCL_4388
HuCC-T1	Yes	Bile duct cancer	Cholangiocarcinoma, intrahepatic	Metastasis	Male, 56	Ascites	CVCL_0324
HuG1-N	Yes	Gastric cancer	Adenocarcinoma, tubular	Metastasis	Male, 55	Stomach	CVCL_4846
HuH-1	Yes	Liver cancer	Hepatocellular Carcinoma, HBs-antigen carrier	Primary	Male, 53	Liver	CVCL_2956
HuH-28	Yes	Bile duct cancer	Cholangiocarcinoma, intrahepatic	Primary	Female, 37	Biliary tract	CVCL_2955
HuH-6	Yes	Liver cancer	Hepatoblastoma		Male, 1	Liver	CVCL_4381
Huh-7	Yes	Liver cancer	Hepatocellular Carcinoma	Primary	Male, 57	Liver	CVCL_0336
HuNS1	Yes	Myeloma	Multiple Myeloma		Male	Haematopoietic and lymphoid tissue	CVCL_2526
HuP-T3	Yes	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	Metastasis	Male, 66	Ascites	CVCL_1299
HuP-T4	Yes	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	Metastasis	Male, 60	Ascites	CVCL_1300
HuT 102	Yes	Lymphoma	T-cell		Male, 28	Lymph node	CVCL_3526
HuT 78	Yes	Lymphoma	T-cell, Non-Hodgkins, Cutaneous		Male, 53	Haematopoietic and lymphoid tissue	CVCL_0337
HuTu 80	Yes	Gastric cancer	Duodenal Adenocarcinoma	Primary	Male, 53	Small intestine	CVCL_1301
HUVEC/TERT2	No	Non-cancerous			Female		CVCL_9Q53
IA-LM	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma	Metastasis	Male, 68	Skin	CVCL_1302
IGR-1	Yes	Skin cancer	Melanoma	Metastasis	Male, 42	Lymph node	CVCL_1303
IGR-37	Yes	Skin cancer	Melanoma	Metastasis	Male, 26	Lymph node	CVCL_2075
IGR-39	Yes	Skin cancer	Melanoma	Primary	Male, 26	Skin	CVCL_2076
IGROV-1	Yes	Ovarian cancer	Adenocarcinoma, mixed	Primary	Female, 47	Ovary	CVCL_1304
IM95	Yes	Gastric cancer	Adenocarcinoma	Primary	Male, 63	Stomach	CVCL_2961
IMR-32	Yes	Neuroblastoma		Metastasis	Male, 1	Abdomen	CVCL_0346
INA-6	Yes	Myeloma	Multiple Myeloma		Male, 80	Pleural effusion	CVCL_5209
IOMM-Lee	Yes	Brain cancer	Meningioma		Male, 61	Central nervous system	CVCL_5779
IPC-298	Yes	Skin cancer	Melanoma	Primary	Female, 64	Skin	CVCL_1307
Ishikawa (Heraklio) 02 ER-	Yes	Uterine cancer	Endometrial Adenocarcinoma	Primary	Female, 39	Endometrium	CVCL_6543
IST-Mes1	Yes	Lung cancer	Mesothelioma	Primary	Female, 70	Pleural effusion	CVCL_1311
IST-Mes2	Yes	Lung cancer	Mesothelioma		Male, 71	Pleural effusion	CVCL_1312
J82	Yes	Bladder cancer	Transitional Cell Carcinoma	Primary	Male, 58	Urinary tract	CVCL_0359
JeKo-1	Yes	Lymphoma	B-cell, Non-Hodgkins, Mantle Cell		Female, 78	Haematopoietic and lymphoid tissue	CVCL_1865
JH-EsoAd1	Yes	Esophageal cancer	Adenocarcinoma		Male, 66	Oesophagus	CVCL_8098
JHH-1	Yes	Liver cancer	Hepatocellular Carcinoma	Primary	Male, 50	Liver	CVCL_2785
JHH-2	Yes	Liver cancer	Hepatocellular Carcinoma	Metastasis	Male, 57	Ascites	CVCL_2786
JHH-4	Yes	Liver cancer	Hepatocellular Carcinoma	Primary	Male, 51	Liver	CVCL_2787
JHH-5	Yes	Liver cancer	Hepatocellular Carcinoma	Primary	Male, 50	Liver	CVCL_0364
JHH-6	Yes	Liver cancer	Hepatocellular Carcinoma	Primary	Female, 57	Liver	CVCL_2788
JHH-7	Yes	Liver cancer	Hepatocellular Carcinoma	Primary	Male, 53	Liver	CVCL_2805
JHOC-5	Yes	Ovarian cancer	Adenocarcinoma, clear cell	Primary	Female, 47	Ovary	CVCL_4640
JHOM-1	Yes	Ovarian cancer	Adenocarcinoma, mucinous	Primary	Female, 88	Ovary	CVCL_4644
JHOM-2B	Yes	Ovarian cancer	Adenocarcinoma, mucinous	Primary	Female, 56	Ovary	CVCL_4645
JHOS-2	Yes	Ovarian cancer	Adenocarcinoma, high grade serous	Primary	Female, 45	Ovary	CVCL_4647
JHOS-4	Yes	Ovarian cancer	Adenocarcinoma, high grade serous	Primary	Female, 44	Ovary	CVCL_4649
JHUEM-1	Yes	Uterine cancer	Endometrial Adenocarcinoma	Primary	Female, 56	Endometrium	CVCL_4655
JHUEM-2	Yes	Uterine cancer	Endometrial Adenocarcinoma	Primary	Female, 62	Endometrium	CVCL_4656
JHUEM-3	Yes	Uterine cancer	Endometrial Adenocarcinoma		Female, 60	Endometrium	CVCL_4657
JHUEM-7	Yes	Uterine cancer	Endometrial Adenocarcinoma	Primary	Female, 58	Endometrium	CVCL_4658
JIMT-1	Yes	Breast cancer	Breast Ductal Carcinoma	Metastasis	Female, 62	Pleural effusion	CVCL_2077
Jiyoye	Yes	Lymphoma	B-cell, Non-Hodgkins, Burkitts		7	Ascites	CVCL_1317
JJ012	Yes	Bone cancer					CVCL_D605
JJN-3	Yes	Myeloma	Multiple Myeloma	Primary	Female, 57	Bone marrow	CVCL_2078
JK-1	Yes	Leukemia	Chronic Myelogenous Leukemia (CML), blast crisis		Male, 58	Haematopoietic and lymphoid tissue	CVCL_2079
JL-1	Yes	Lung cancer	Mesothelioma	Primary	Male, 54	Pleura	CVCL_2080
JM-1	Yes	Leukemia	Acute Lymphoblastic Leukemia (ALL), B-cell		Male	Haematopoietic and lymphoid tissue	CVCL_3532
JMSU-1	Yes	Bladder cancer	Carcinoma	Metastasis	Male, 75	Ascites	CVCL_2081
JURKAT	Yes	Leukemia		Primary	Male, 14	Haematopoietic and lymphoid tissue	CVCL_0065
Jurkat E6.1	Yes	Leukemia		Primary		Haematopoietic_and_lymphoid_tissue	CVCL_0367
JURL-MK1	Yes	Leukemia	Chronic Myelogenous Leukemia (CML), blast crisis		Male, 73	Haematopoietic and lymphoid tissue	CVCL_2086
JVM-2	Yes	Lymphoma	B-cell, Non-Hodgkins, Mantle Cell		Female, 63	Haematopoietic and lymphoid tissue	CVCL_1319
JVM-3	Yes	Leukemia	Chronic Lymphoblastic Leukemia (CLL), B-cell		Male, 73	Haematopoietic and lymphoid tissue	CVCL_1320
K-562	Yes	Leukemia		Metastasis	Female, 53	Pleural effusion	CVCL_0004
K029AX	Yes	Skin cancer	Melanoma	Primary	Female	Skin	CVCL_8784
KALS-1	Yes	Brain cancer	Glioblastoma	Primary	Female, 74	Central nervous system	CVCL_1323
Karpas-1106P	Yes	Lymphoma	B-cell, Non-Hodgkins, Mediastil Large		23	Pleural_effusion	CVCL_1821
Karpas-299	Yes	Lymphoma	T-cell, Non-Hodgkins, Anaplastic Large Cell (ALCL)		Male, 25	Haematopoietic and lymphoid tissue	CVCL_1324
Karpas-422	Yes	Lymphoma	Diffuse Large B-cell Lymphoma (DLBCL)	Metastasis	Female, 73	Pleural effusion	CVCL_1325
Karpas-620	Yes	Myeloma	Multiple Myeloma	Primary	Female, 77	Haematopoietic and lymphoid tissue	CVCL_1823
Karpas-707	Yes	Myeloma			Male, 53		CVCL_0010
Kasumi-1	Yes	Leukemia	Acute Myelogenous Leukemia (AML), M2 (Myeloblastic)	Primary	Male, 7	Haematopoietic and lymphoid tissue	CVCL_0589
Kasumi-2	Yes	Leukemia	Acute Lymphoblastic Leukemia (ALL), B-cell		Male, 15	Bone marrow	CVCL_0590
Kasumi-6	Yes	Leukemia	Acute Myelogenous Leukemia (AML), M2 (Myeloblastic)	Primary	Male, 64	Haematopoietic and lymphoid tissue	CVCL_0614
KATO III	Yes	Gastric cancer	Adenocarcinoma, signet ring cell	Metastasis	Male, 57	Pleural effusion	CVCL_0371
KCI-MOH1	Yes	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	Primary	64	Pancreas	CVCL_2090
KCL-22	Yes	Leukemia	Chronic Myelogenous Leukemia (CML), blast crisis		Female, 32	Pleural effusion	CVCL_2091
KD [Human abdomen rhabdoid tumor]	Yes	Rhabdoid	Malignant Rhabdoid Tumor		Female, 0	Soft tissue	CVCL_U757
KE-37	Yes	Leukemia	Acute Lymphoblastic Leukemia (ALL), T-cell		Male, 27	Haematopoietic and lymphoid tissue	CVCL_1327
KE-39	Yes	Gastric cancer	Adenocarcinoma	Metastasis	Male, 77	Lymph node	CVCL_3385
KE-97	Yes	Myeloma	Myeloma	Metastasis	Male, 52	Abdomen	CVCL_3386
Kelly	Yes	Neuroblastoma		Primary	Female, 1	Autonomic ganglia	CVCL_2092
KG-1	Yes	Leukemia	Acute Myelogenous Leukemia (AML)	Primary	Male, 59	Bone marrow	CVCL_0374
KG-1-C	Yes	Brain cancer	Oligodendroglioma	Primary	Male, 13	Central nervous system	CVCL_2971
KHM-1B	Yes	Myeloma	Multiple Myeloma	Primary	Male, 53	Pleural effusion	CVCL_2972
Ki-JK	Yes	Lymphoma	T-cell, Non-Hodgkins, Anaplastic Large Cell (ALCL)		Male, 15	Pleural effusion	CVCL_2093
KLE	Yes	Uterine cancer	Endometrial Adenocarcinoma	Primary	Female, 68	Endometrium	CVCL_1329
KLM-1	Yes	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	Metastasis		Liver	CVCL_5146
KM-H2	Yes	Lymphoma	B-cell, Hodgkins	Metastasis	Male, 37	Pleural effusion	CVCL_1330
KM12	Yes	Colorectal cancer	Adenocarcinoma	Primary		Large intestine	CVCL_1331
KMBC-2	Yes	Bladder cancer	Carcinoma	Primary	Female	Urinary tract	CVCL_2977
KMM-1	Yes	Myeloma	Multiple Myeloma	Primary	Male, 62	Haematopoietic and lymphoid tissue	CVCL_2981
KMRC-1	Yes	Kidney cancer	Renal Carcinoma, clear cell	Primary	Male	Kidney	CVCL_2983
KMRC-2	Yes	Kidney cancer	Renal Carcinoma, clear cell	Primary	Male	Kidney	CVCL_2984
KMRC-20	Yes	Kidney cancer	Renal Cell Carcinoma	Primary	Female	Kidney	CVCL_2986
KMRC-3	Yes	Kidney cancer	Renal Carcinoma, clear cell	Primary	Male	Kidney	CVCL_2985
KMS-11	Yes	Myeloma	Multiple Myeloma	Primary	Female, 67	Pleural effusion	CVCL_2989
KMS-12-BM	Yes	Myeloma	Multiple Myeloma	Primary	Female, 64	Bone marrow	CVCL_1334
KMS-18	Yes	Myeloma	Multiple Myeloma	Primary	Male, 60	Haematopoietic and lymphoid tissue	CVCL_A637
KMS-20	Yes	Myeloma	Multiple Myeloma	Primary	Female, 65	Bone marrow	CVCL_2990
KMS-21-BM	Yes	Myeloma	Multiple Myeloma	Primary	Male, 62	Haematopoietic and lymphoid tissue	CVCL_2991
KMS-26	Yes	Myeloma	Multiple Myeloma	Primary	Male, 50	Pleural effusion	CVCL_2992
KMS-27	Yes	Myeloma	Multiple Myeloma	Primary	Male, 52	Haematopoietic and lymphoid tissue	CVCL_2993
KMS-28BM	Yes	Myeloma	Multiple Myeloma	Primary	Female, 77	Haematopoietic and lymphoid tissue	CVCL_2994
KMS-34	Yes	Myeloma	Multiple Myeloma	Primary	Female, 60	Pleural effusion	CVCL_2996
KNS-42	Yes	Brain cancer	Glioblastoma	Primary	Male, 16	Central nervous system	CVCL_0378
KNS-60	Yes	Brain cancer	Glioblastoma	Primary	Male, 55	Central nervous system	CVCL_2798
KNS-62	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	Metastasis	Male, 49	Central nervous system	CVCL_1335
KNS-81	Yes	Brain cancer	Glioblastoma	Primary	Male, 65	Central nervous system	CVCL_2799
KO52	Yes	Leukemia	Acute Myelogenous Leukemia (AML), M2 (Myeloblastic)		Male, 46	Bone marrow	CVCL_1321
KOPN-8	Yes	Leukemia	Acute Lymphoblastic Leukemia (ALL), B-cell	Primary	Female, 0	Haematopoietic and lymphoid tissue	CVCL_1866
KP-2	Yes	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	Primary	Female, 65	Pancreas	CVCL_3004
KP-3	Yes	Pancreatic cancer	Ductal Adenosquamous Carcinoma, exocrine	Metastasis	Male, 75	Liver	CVCL_3005
KP-4	Yes	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	Metastasis	Male, 50	Ascites	CVCL_1338
KP-MRT-RY	Yes	Rhabdoid	Malignant Rhabdoid Tumor		Male, 0	Soft tissue	CVCL_7051
KP-N-RT-BM-1	Yes	Neuroblastoma		Metastasis	Female, 1	Bone marrow	CVCL_1339
KP-N-SI9s	Yes	Neuroblastoma		Metastasis	Male, 5	Autonomic ganglia	CVCL_1340
KP-N-YN	Yes	Neuroblastoma		Metastasis	Male, 2	Lymph node	CVCL_1341
KPL-1	Yes	Breast cancer	Carcinoma	Metastasis	Female, 69	Pleural effusion	CVCL_2094
KPL-4	Yes	Brain cancer	Carcinoma	Metastasis		Pleural_effusion	CVCL_5310
KS-1 [Human glioblastoma]	Yes	Brain cancer	Astrocytoma	Primary	Female, 45	Central nervous system	CVCL_1343
KU-19-19	Yes	Bladder cancer	Transitional Cell Carcinoma		Female, 76	Urinary tract	CVCL_1344
Ku812	Yes	Leukemia	Chronic Myelogenous Leukemia (CML), blast crisis		Male, 38	Haematopoietic and lymphoid tissue	CVCL_0379
Kuramochi	Yes	Ovarian cancer	Adenocarcinoma, high grade serous	Metastasis	Female	Ascites	CVCL_1345
KYM-1	Yes	Rhabdoid	Malignant Rhabdoid Tumor	Primary	Male, 0	Soft tissue	CVCL_3007
KYO-1	Yes	Leukemia	Chronic Myelogenous Leukemia (CML), blast crisis		Male, 22	Haematopoietic and lymphoid tissue	CVCL_2095
KYSE-140	Yes	Esophageal cancer	Squamous Cell Carcinoma	Primary	Male, 54	Oesophagus	CVCL_1347
KYSE-150	Yes	Esophageal cancer	Squamous Cell Carcinoma	Primary	Female, 49	Oesophagus	CVCL_1348
KYSE-180	Yes	Esophageal cancer	Squamous Cell Carcinoma	Primary	Male, 53	Oesophagus	CVCL_1349
KYSE-270	Yes	Esophageal cancer	Squamous Cell Carcinoma	Primary	Male, 79	Oesophagus	CVCL_1350
KYSE-30	Yes	Esophageal cancer	Squamous Cell Carcinoma	Primary	Male, 64	Oesophagus	CVCL_1351
KYSE-410	Yes	Esophageal cancer	Squamous Cell Carcinoma	Primary	Male, 51	Oesophagus	CVCL_1352
KYSE-450	Yes	Esophageal cancer	Squamous Cell Carcinoma	Primary	Male, 59	Oesophagus	CVCL_1353
KYSE-510	Yes	Esophageal cancer	Squamous Cell Carcinoma	Primary	Female, 67	Oesophagus	CVCL_1354
KYSE-520	Yes	Esophageal cancer	Squamous Cell Carcinoma	Primary	Female, 58	Oesophagus	CVCL_1355
KYSE-70	Yes	Esophageal cancer	Squamous Cell Carcinoma	Primary	Male, 77	Oesophagus	CVCL_1356
L-1236	Yes	Lymphoma	B-cell, Hodgkins		Male, 34	Haematopoietic and lymphoid tissue	CVCL_2096
L-363	Yes	Myeloma	Multiple Myeloma	Primary	Female, 36	Haematopoietic and lymphoid tissue	CVCL_1357
L-428	Yes	Lymphoma	B-cell, Hodgkins		Female, 37	Pleural effusion	CVCL_1361
L-540	Yes	Lymphoma	B-cell, Hodgkins		Female, 20	Bone marrow	CVCL_1362
L3.3	Yes	Pancreatic cancer	Ductal Adenosquamous Carcinoma	Metastasis	Female, 77	Lymph node	CVCL_8147
LAMA-84	Yes	Leukemia	Chronic Myelogenous Leukemia (CML), blast crisis	Primary	Female, 29	Haematopoietic and lymphoid tissue	CVCL_0388
LC-1F	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	Primary	Male, 69	Lung	CVCL_1372
LCLC-103H	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma	Metastasis	Male, 61	Pleural effusion	CVCL_1375
LCLC-97TM1	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma	Primary	Male, 44	Lung	CVCL_1376
LHCN-M2	No	Non-cancerous			Male, 41		CVCL_8890
Li-7	Yes	Liver cancer			Male, 45	Liver	CVCL_3840
LK-2	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	Primary	Male, 74	Lung	CVCL_1377
LMSU	Yes	Gastric cancer	Adenocarcinoma	Metastasis	Female, 27	Lymph node	CVCL_4849
LN-18	Yes	Brain cancer	Glioblastoma	Primary	Male, 65	Central nervous system	CVCL_0392
LN-215	Yes	Brain cancer	Glioblastoma		Female, 60	Central nervous system	CVCL_3954
LN-229	Yes	Brain cancer	Glioblastoma	Primary	Female, 60	Central nervous system	CVCL_0393
LN-235	Yes	Brain cancer	Astrocytoma		Male, 38	Central nervous system	CVCL_3957
LN-308	Yes	Brain cancer	Glioblastoma		Male, 60	Central nervous system	CVCL_0394
LN-319	Yes	Brain cancer	Astrocytoma		Male, 67	Central nervous system	CVCL_3958
LN-340	Yes	Brain cancer	Glioblastoma		Male, 57	Central nervous system	CVCL_3955
LN-382	Yes	Brain cancer	Glioblastoma		Male, 67	Central nervous system	CVCL_3956
LN-428	Yes	Brain cancer	Glioblastoma		Male, 48	Central nervous system	CVCL_3959
LN-443	Yes	Brain cancer	Glioblastoma		Female	Central nervous system	CVCL_3960
LN-464	Yes	Brain cancer	Glioblastoma		Male, 67	Central nervous system	CVCL_3962
LNCaP	Yes	Prostate cancer		Metastasis	50	Lymph_node	CVCL_0395
LNCaP clone FGC	Yes	Prostate cancer	Adenocarcinoma	Metastasis	Male, 50	Lymph node	CVCL_1379
LOU-NH91	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	Primary	Female, 64	Lung	CVCL_2104
Loucy	Yes	Leukemia	Acute Lymphoblastic Leukemia (ALL), T-cell		Female, 38	Haematopoietic and lymphoid tissue	CVCL_1380
LoVo	Yes	Colorectal cancer	Adenocarcinoma	Metastasis	Male, 56	Lymph node	CVCL_0399
LOX-IMVI	Yes	Skin cancer	Melanoma	Metastasis	Male, 58	Lymph node	CVCL_1381
LP-1	Yes	Myeloma		Primary	Female, 56	Haematopoietic and lymphoid tissue	CVCL_0012
LS1034	Yes	Colorectal cancer	Adenocarcinoma	Primary	Male, 54	Large intestine	CVCL_1382
LS123	Yes	Colorectal cancer	Adenocarcinoma	Primary	Female, 65	Colon	CVCL_1383
LS180	Yes	Colorectal cancer	Adenocarcinoma	Primary	Female, 58	Colon	CVCL_0397
LS411N	Yes	Colorectal cancer	Adenocarcinoma	Primary	Male, 32	Large intestine	CVCL_1385
LS513	Yes	Colorectal cancer	Adenocarcinoma	Primary	Male, 63	Large intestine	CVCL_1386
Lu-65	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma	Primary	Male, 64	Lung	CVCL_1392
Lu-99	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma	Metastasis	Male, 63	Pleura	CVCL_3015
LUDLU-1	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	Primary	Male, 72	Lung	CVCL_2582
LXF 289	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	Primary	Male, 62	Lung	CVCL_1394
LXFL 529L	Yes	Lung cancer					CVCL_D085
M-07e	Yes	Leukemia	Acute Myelogenous Leukemia (AML), M7 (Megakaryoblastic)		Female, 0	Haematopoietic and lymphoid tissue	CVCL_2106
M059K	Yes	Brain cancer	Glioblastoma	Primary	Male, 33	Central nervous system	CVCL_0401
Malme-3M	Yes	Skin cancer	Melanoma	Metastasis	Male, 43	Lung	CVCL_1438
MC116	Yes	Lymphoma	B-cell, Non-Hodgkins		Male	Pleural effusion	CVCL_1399
MCAS	Yes	Ovarian cancer	Cystadenocarcinoma, mucinous	Primary	Female, 60	Ovary	CVCL_3020
MCF-10A	No	Non-cancerous		Primary	36	Breast	CVCL_0598
MCF-7	Yes	Breast cancer		Metastasis	Female, 69	Pleural effusion	CVCL_0031
MDA-MB-134-VI	Yes	Breast cancer	Breast Ductal Carcinoma	Metastasis	Female, 47	Pleural effusion	CVCL_0617
MDA-MB-157	Yes	Breast cancer	Breast Ductal Carcinoma	Metastasis	Female, 44	Pleural effusion	CVCL_0618
MDA-MB-175-VII	Yes	Breast cancer	Breast Ductal Carcinoma	Metastasis	Female, 56	Pleural effusion	CVCL_1400
MDA-MB-231	Yes	Breast cancer	Carcinoma	Metastasis	Female, 51	Pleural effusion	CVCL_0062
MDA-MB-330	Yes	Breast cancer	Carcinoma	Metastasis	43	Pleural_effusion	CVCL_0619
MDA-MB-361	Yes	Breast cancer	Carcinoma	Metastasis	Female, 40	Central nervous system	CVCL_0620
MDA-MB-415	Yes	Breast cancer	Carcinoma	Metastasis	Female, 38	Pleural effusion	CVCL_0621
MDA-MB-435	Yes	Skin cancer					CVCL_0417
MDA-MB-435S	Yes	Skin cancer	Melanoma, amelanotic	Metastasis	Female, 31	Skin	CVCL_0622
MDA-MB-436	Yes	Breast cancer	Carcinoma	Metastasis	Female, 43	Pleural effusion	CVCL_0623
MDA-MB-453	Yes	Breast cancer	Carcinoma	Metastasis	Female, 48	Pericardial effusion	CVCL_0418
MDA-MB-468	Yes	Breast cancer	Carcinoma	Metastasis	Female, 51	Pleural effusion	CVCL_0419
MDA-PCa-2b	Yes	Prostate cancer	Adenocarcinoma	Metastasis	Male, 63	Bone	CVCL_4748
MDST8	Yes	Colorectal cancer	Adenocarcinoma			Large intestine	CVCL_2588
ME-1 [Human leukemia]	Yes	Leukemia	Acute Myelogenous Leukemia (AML), M4 (Myelomonocytic)		Male, 40	Haematopoietic and lymphoid tissue	CVCL_2110
ME-180	Yes	Cervical cancer	Squamous Cell Carcinoma	Metastasis	66	Abdomen	CVCL_1401
MEC-1	Yes	Leukemia	Chronic Lymphoblastic Leukemia (CLL), B-cell		Male, 61	Haematopoietic and lymphoid tissue	CVCL_1870
MEG-01	Yes	Leukemia	Chronic Myelogenous Leukemia (CML)		Male, 55	Bone marrow	CVCL_0425
Mel 928	Yes	Skin cancer	Melanoma				CVCL_C694
Mel Ho	Yes	Skin cancer	Melanoma	Primary	Female	Skin	CVCL_1402
Mel JuSo	Yes	Skin cancer	Melanoma	Primary	Female, 58	Skin	CVCL_1403
MES-SA	Yes	Sarcoma	Uterine Sarcoma	Primary	Female, 56	Endometrium	CVCL_1404
MeWo	Yes	Skin cancer	Melanoma	Metastasis	Male, 78	Lymph node	CVCL_0445
MFE-280	Yes	Uterine cancer	Endometrial Adenocarcinoma	Primary	Female, 77	Endometrium	CVCL_1405
MFE-296	Yes	Uterine cancer	Endometrial Adenocarcinoma	Primary	Female, 68	Endometrium	CVCL_1406
MFE-319	Yes	Uterine cancer			Female, 81	Endometrium	CVCL_2112
MFM-223	Yes	Breast cancer	Breast Ductal Carcinoma	Metastasis	0	Pleural_effusion	CVCL_1408
MG-63	Yes	Bone cancer	Osteosarcoma	Primary	Male, 14	Bone	CVCL_0426
MHH-CALL-2	Yes	Leukemia	Acute Lymphoblastic Leukemia (ALL), B-cell		Female, 15	Haematopoietic and lymphoid tissue	CVCL_1409
MHH-CALL-3	Yes	Leukemia	Acute Lymphoblastic Leukemia (ALL), B-cell		Female, 11	Bone marrow	CVCL_0089
MHH-CALL-4	Yes	Leukemia	Acute Lymphoblastic Leukemia (ALL), B-cell		Male, 10	Haematopoietic and lymphoid tissue	CVCL_1410
MHH-ES-1	Yes	Bone cancer	Ewings Sarcoma	Metastasis	Male, 12	Ascites	CVCL_1411
MHH-NB-11	Yes	Neuroblastoma		Metastasis	Male, 4	Autonomic ganglia	CVCL_1412
MHH-PREB-1	Yes	Lymphoma	B-cell, Non-Hodgkins		7	Lymph_node	CVCL_1413
MIA PaCa-2	Yes	Pancreatic cancer	Ductal Adenocarcinoma, exocrine	Primary	Male, 65	Pancreas	CVCL_0428
Mino	Yes	Lymphoma	B-cell, Non-Hodgkins, Mantle Cell		Male, 68	Haematopoietic and lymphoid tissue	CVCL_1872
MJ	Yes	Lymphoma	T-cell, Non-Hodgkins, Cutaneous		Male, 50	Haematopoietic and lymphoid tissue	CVCL_1414
MKN1	Yes	Gastric cancer	Adenocarcinoma	Metastasis	Male, 72	Lymph node	CVCL_1415
MKN45	Yes	Gastric cancer	Adenocarcinoma	Metastasis	Female, 62	Liver	CVCL_0434
MKN7	Yes	Gastric cancer	Adenocarcinoma, tubular	Metastasis	Male, 39	Lymph node	CVCL_1417
MKN74	Yes	Gastric cancer	Adenocarcinoma	Metastasis	Male, 37	Liver	CVCL_2791
ML-1 [Human thyroid carcinoma]	Yes	Thyroid cancer	Carcinoma, follicular		Female, 50	Thyroid	CVCL_H525
ML-2	Yes	Leukemia	Acute Myelogenous Leukemia (AML)		26	Haematopoietic_and_lymphoid_tissue	CVCL_1418
MM1.S	Yes	Myeloma	Multiple Myeloma	Primary	Female, 45	Haematopoietic and lymphoid tissue	CVCL_8792
MOLM-13	Yes	Leukemia		Primary	Male, 20	Haematopoietic and lymphoid tissue	CVCL_2119
MOLM-16	Yes	Leukemia	Acute Myelogenous Leukemia (AML)		Female, 77	Haematopoietic and lymphoid tissue	CVCL_2120
MOLM-6	Yes	Leukemia	Chronic Myelogenous Leukemia (CML), blast crisis		Male, 44	Haematopoietic and lymphoid tissue	CVCL_2122
MOLP-2	Yes	Myeloma	Multiple Myeloma	Primary	Male, 55	Haematopoietic and lymphoid tissue	CVCL_2123
MOLP-8	Yes	Myeloma	Multiple Myeloma	Primary	Male, 52	Haematopoietic and lymphoid tissue	CVCL_2124
MOLT-13	Yes	Leukemia	Acute Lymphoblastic Leukemia (ALL), T-cell		Female, 2	Bone marrow	CVCL_1422
MOLT-16	Yes	Leukemia	Acute Lymphoblastic Leukemia (ALL), T-cell		Female, 5	Haematopoietic and lymphoid tissue	CVCL_1424
MOLT-3	Yes	Leukemia	Acute Lymphoblastic Leukemia (ALL), T-cell		Male, 19	Haematopoietic and lymphoid tissue	CVCL_0624
MOLT-4	Yes	Leukemia			Male, 19	Haematopoietic and lymphoid tissue	CVCL_0013
MON	Yes	Rhabdoid	Malignant Rhabdoid Tumor		Male, 0	Soft tissue	CVCL_M846
Mono-Mac-1	Yes	Leukemia	Acute Myelogenous Leukemia (AML)	Primary	Male, 64	Haematopoietic and lymphoid tissue	CVCL_1425
Mono-Mac-6	Yes	Leukemia	Acute Myelogenous Leukemia (AML), M5 (Eosinophilic/Monocytic)	Primary	Male, 64	Haematopoietic and lymphoid tissue	CVCL_1426
MOR	Yes	Lung cancer					CVCL_2618
MOR/CPR	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	Primary	Female	Lung	CVCL_2620
MPP 89	Yes	Lung cancer	Mesothelioma		Male, 67	Pleural effusion	CVCL_1427
MS751	Yes	Cervical cancer	Squamous Cell Carcinoma	Metastasis	47	Lymph_node	CVCL_4996
MSTO-211H	Yes	Lung cancer	Mesothelioma	Metastasis	Male, 62	Pleural effusion	CVCL_1430
