Cell line	Cancer cell line	Primary disease	Disease subtype	Primary/Metastasis	Patient	Sample collection site	Cellosaurus ID
EFO-27	Yes	Ovarian cancer	Adenocarcinoma, endometrioid	Metastasis	Female, 36	Abdomen	CVCL_1192
EHEB	Yes	Lymphoma	B-cell		Female, 69	Haematopoietic and lymphoid tissue	CVCL_1194
EJM	Yes	Myeloma	Multiple Myeloma	Primary	Female, 58	Ascites	CVCL_2030
EKVX	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	Primary	Male	Lung	CVCL_1195
EM-2	Yes	Leukemia	Chronic Myelogenous Leukemia (CML), blast crisis		Female, 5	Bone marrow	CVCL_1196
EN	Yes	Uterine cancer	Endometrial Adenocarcinoma	Primary	Female, 50	Endometrium	CVCL_2034
EoL-1	Yes	Leukemia	Acute Myelogenous Leukemia (AML), M5 (Eosinophilic/Monocytic)		Male, 33	Haematopoietic and lymphoid tissue	CVCL_0258
EPLC-272H	Yes	Lung cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	Primary	Male, 57	Lung	CVCL_1197
ES-2	Yes	Ovarian cancer	Adenocarcinoma, clear cell	Primary	Female, 47	Ovary	CVCL_3509
ESS-1	Yes	Uterine cancer	Endometrial Stromal Sarcoma	Primary	Female, 76	Endometrium	CVCL_1205
Evsa-T	Yes	Breast cancer	Carcinoma	Metastasis	58	Ascites	CVCL_1207
EW-8	Yes	Bone cancer	Ewings Sarcoma		Male	Bone	CVCL_V618
EWS-502	Yes	Bone cancer	Ewings Sarcoma		Female	Bone	CVCL_S740
F-36P	Yes	Leukemia	Acute Myelogenous Leukemia (AML), M6 (Erythroleukemia)	Metastasis	Male, 68	Pleural effusion	CVCL_2037
FaDu	Yes	Head and Neck cancer	Squamous Cell Carcinoma	Primary	Male, 56	Upper aerodigestive tract	CVCL_1218
Farage	Yes	Lymphoma	B-cell, Non-Hodgkins	Metastasis	70	Lymph_node	CVCL_3302
fHDF/TERT166	No	Non-cancerous			Male		CVCL_GZ73
FTC-133	Yes	Thyroid cancer	Carcinoma, anaplastic	Metastasis	Male, 42	Thyroid	CVCL_1219
FTC-238	Yes	Thyroid cancer	Carcinoma, follicular	Metastasis	Male, 42	Lung	CVCL_2447
FU-OV-1	Yes	Ovarian cancer	Adenocarcinoma, high grade serous	Primary	Female, 65	Ovary	CVCL_2047
Fu97	Yes	Gastric cancer	Adenocarcinoma	Primary	Female, 66	Stomach	CVCL_2908
G-292 clone A141B1	Yes	Bone cancer	Osteosarcoma	Primary	Female, 9	Bone	CVCL_2909
G-361	Yes	Skin cancer	Melanoma	Primary	Male, 31	Skin	CVCL_1220
G-401	Yes	Rhabdoid	Malignant Rhabdoid Tumor	Primary	Male, 0	Kidney	CVCL_0270
G-402	Yes	Kidney cancer	Renal Cell Carcinoma	Primary	Female, 0	Kidney	CVCL_1221
GA-10	Yes	Lymphoma	B-cell, Non-Hodgkins, Burkitts		Male, 41	Haematopoietic and lymphoid tissue	CVCL_1222
GAMG	Yes	Brain cancer		Primary	Female, 42	Central nervous system	CVCL_1226
